version_id,file_name,scenario_title,scenario_description,total_rows,revenue_usd_millions,avg_fill_rate,stockout_rate,on_time_rate,avg_shipment_cost_usd,air_share,rail_share,road_share,provider_y_share,inventory_turnover_proxy,return_rate
v01,assignment_supply_chain_2025_v01_urban_ecommerce_surge.csv,Urban E-commerce Surge,"Urban and electronics demand rises sharply, premium transport usage grows, and Q4 strain creates selective service pressure.",16425,204.806,0.9862,0.1733,0.9174,117.44,0.3872,0.1901,0.4226,0.3962,2221.08,0.0174
v02,assignment_supply_chain_2025_v02_rural_last_mile_expansion.csv,Rural Last-mile Expansion,"Rural customers expand quickly, average distance grows, road dependency rises, and service levels become more volatile.",16425,152.781,0.9834,0.1928,0.8887,108.57,0.2545,0.1953,0.5503,0.3243,1682.54,0.0139
v03,assignment_supply_chain_2025_v03_lean_inventory_push.csv,Lean Inventory Push,"Management aggressively reduces inventory and safety stock, improving cash efficiency at the cost of fill rate and stockout risk.",16425,127.315,0.9054,0.7383,0.8637,107.15,0.3012,0.2385,0.4603,0.336,2299.2,0.0138
v04,assignment_supply_chain_2025_v04_premium_service_upgrade.csv,Premium Service Upgrade,"The network invests in faster transport and stronger provider performance, producing higher on-time delivery at higher cost.",16425,156.572,0.9984,0.0384,0.9656,134.5,0.4002,0.1509,0.4489,0.4427,1577.68,0.0126
v05,assignment_supply_chain_2025_v05_fuel_cost_shock.csv,Fuel Cost Shock,"Rising fuel prices create severe road-cost inflation and compress margins, especially on long-haul shipments.",16425,140.792,0.9848,0.182,0.8883,124.1,0.31,0.3599,0.3302,0.3279,1592.19,0.0133
v06,assignment_supply_chain_2025_v06_rail_optimization_program.csv,Rail Optimization Program,"A network redesign shifts long-haul volume toward rail, reducing cost per kilometer while modestly extending some lead times.",16425,143.618,0.9965,0.0623,0.9265,90.09,0.2423,0.4349,0.3229,0.3176,1589.1,0.0129
v07,assignment_supply_chain_2025_v07_electronics_returns_crisis.csv,Electronics Returns Crisis,"Electronics demand remains healthy, but a quality problem drives return rates sharply higher and erodes contribution margin.",16425,154.465,0.9871,0.1606,0.9001,113.29,0.328,0.2259,0.4461,0.3207,1708.33,0.036
v08,assignment_supply_chain_2025_v08_holiday_peak_volatility.csv,Holiday Peak Volatility,"The year-end peak becomes much more extreme, creating forecasting misses, stockouts, and cost escalation in November and December.",16425,156.584,0.9614,0.3101,0.8824,117.36,0.3497,0.2193,0.431,0.3605,1863.24,0.0146
v09,assignment_supply_chain_2025_v09_food_cold_chain_focus.csv,Food Cold-chain Focus,"Food products get operational priority, improving freshness and service while increasing expedited shipments for selected lanes.",16425,147.254,0.9945,0.0855,0.9345,109.96,0.3079,0.2214,0.4707,0.3082,1675.01,0.0119
v10,assignment_supply_chain_2025_v10_east_coast_supplier_disruption.csv,East Coast Supplier Disruption,"The East warehouse faces upstream disruption, causing longer lead times, lower fill rates, and elevated stockouts.",16425,129.533,0.9151,0.427,0.8362,115.45,0.3179,0.2315,0.4506,0.2911,1749.89,0.0137
v11,assignment_supply_chain_2025_v11_south_warehouse_turnaround.csv,South Warehouse Turnaround,"A process-improvement program in the South warehouse improves service, throughput, and inventory control.",16425,144.975,0.9962,0.0675,0.9513,104.65,0.2941,0.2482,0.4578,0.4035,1732.68,0.0129
v12,assignment_supply_chain_2025_v12_cost_containment_slowdown.csv,Cost Containment Slowdown,"Demand softens and management protects service through higher inventories, creating weaker turnover but lower stockout rates.",16425,109.404,0.9992,0.0172,0.9302,103.57,0.2924,0.2653,0.4423,0.3307,1040.61,0.0138
v13,assignment_supply_chain_2025_v13_sustainability_modal_shift.csv,Sustainability Modal Shift,"The company reduces air usage and moves freight to rail, cutting average cost while stretching some service times.",16425,140.783,0.9884,0.1507,0.8795,80.97,0.1044,0.4755,0.4201,0.3173,1567.19,0.0131
v14,assignment_supply_chain_2025_v14_inflation_and_price_reset.csv,Inflation and Price Reset,"Both selling prices and input costs increase materially, changing revenue and margin dynamics while demand cools slightly.",16425,155.449,0.9933,0.0975,0.9123,124.34,0.305,0.2339,0.4611,0.3612,1463.13,0.0137
v15,assignment_supply_chain_2025_v15_resilient_balanced_network.csv,Resilient Balanced Network,"The network is rebalanced across providers and warehouses, producing strong service and moderate cost performance.",16425,148.469,0.9985,0.0285,0.971,103.71,0.264,0.26,0.4759,0.3855,1538.72,0.0127
